root,path,size_bytes,sha256,architecture,file_format,git_tracked,git_ignored,source,license_status,distribution_decision,sdk_or_image_match,success_evidence
parent_backup,starlink-low-orbit-modeling/data/raw/.gitkeep,1,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,not-applicable,data,False,False,vendor/archive/local backup,redistribution not established,DO_NOT_DISTRIBUTE,not established,local discovery only
parent_backup,starlink-low-orbit-modeling/docs/problem/.gitkeep,1,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,not-applicable,data,False,False,vendor/archive/local backup,redistribution not established,DO_NOT_DISTRIBUTE,not established,local discovery only
parent_backup,starlink-low-orbit-modeling/docs/references/.gitkeep,1,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,not-applicable,data,False,False,vendor/archive/local backup,redistribution not established,DO_NOT_DISTRIBUTE,not established,local discovery only
parent_backup,starlink-low-orbit-modeling/models/.gitkeep,1,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,not-applicable,data,False,False,vendor/archive/local backup,redistribution not established,DO_NOT_DISTRIBUTE,not established,local discovery only
parent_backup,starlink-low-orbit-modeling/notebooks/.gitkeep,1,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,not-applicable,data,False,False,vendor/archive/local backup,redistribution not established,DO_NOT_DISTRIBUTE,not established,local discovery only
parent_backup,starlink-low-orbit-modeling/outputs/figures/.gitkeep,1,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,not-applicable,data,False,False,vendor/archive/local backup,redistribution not established,DO_NOT_DISTRIBUTE,not established,local discovery only
parent_backup,starlink-low-orbit-modeling/outputs/logs/.gitkeep,1,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,not-applicable,data,False,False,vendor/archive/local backup,redistribution not established,DO_NOT_DISTRIBUTE,not established,local discovery only
parent_backup,starlink-low-orbit-modeling/outputs/problem2/best_double_constellation.json,2811,3461d9ec3ffa30e9c8ab98f5bdfa4d91add9d7fe700f6908ac7a4104f3707aae,not-applicable,json,False,False,vendor/archive/local backup,redistribution not established,DO_NOT_DISTRIBUTE,not established,local discovery only
parent_backup,starlink-low-orbit-modeling/outputs/problem2/best_single_constellation.json,2767,ff760ff5da3f1c49a49cfae79f3b6525b4edcb6d2ea48dc06e2cf96767b2cf09,not-applicable,json,False,False,vendor/archive/local backup,redistribution not established,DO_NOT_DISTRIBUTE,not established,local discovery only
parent_backup,starlink-low-orbit-modeling/outputs/problem2/checkpoints/double_40x46_seed_20361795.json,17683,b75cf4cbc45e3130eca384bff2abb4c4d74c94a3029cd789f52df29f902d80dd,not-applicable,json,False,False,vendor/archive/local backup,redistribution not established,DO_NOT_DISTRIBUTE,not established,local discovery only
parent_backup,starlink-low-orbit-modeling/outputs/problem2/checkpoints/double_41x45_seed_20361761.json,17442,6686a35591883554d5f0b6aa32a03f07a96bf23fc8d8dffa13c39df241a775d9,not-applicable,json,False,False,vendor/archive/local backup,redistribution not established,DO_NOT_DISTRIBUTE,not established,local discovery only
parent_backup,starlink-low-orbit-modeling/outputs/problem2/checkpoints/double_42x44_seed_20361710.json,18186,1aedac340a0e89e119ffc1c80b408d42015a23126caa361a23bdf100f9061bad,not-applicable,json,False,False,vendor/archive/local backup,redistribution not established,DO_NOT_DISTRIBUTE,not established,local discovery only
parent_backup,starlink-low-orbit-modeling/outputs/problem2/checkpoints/double_44x42_seed_20361727.json,18162,21234504fd4eb3c122c0f3599c156e4942a92343ad9ef38e50404ea012285470,not-applicable,json,False,False,vendor/archive/local backup,redistribution not established,DO_NOT_DISTRIBUTE,not established,local discovery only
parent_backup,starlink-low-orbit-modeling/outputs/problem2/checkpoints/double_45x41_seed_20361778.json,18090,47aaa0622b6396491b2009b96b7230fbfb3456dc4fc1074d44d21dd0cd764b0a,not-applicable,json,False,False,vendor/archive/local backup,redistribution not established,DO_NOT_DISTRIBUTE,not established,local discovery only
parent_backup,starlink-low-orbit-modeling/outputs/problem2/checkpoints/double_56x33_seed_20361744.json,18383,ab378e2ee5ee9c3be31d87b95900d2bbc745e2ecc63d722c958f70cfc42f2b37,not-applicable,json,False,False,vendor/archive/local backup,redistribution not established,DO_NOT_DISTRIBUTE,not established,local discovery only
parent_backup,starlink-low-orbit-modeling/outputs/problem2/checkpoints/double_seed_20360710.json,53609,80328029090adb06800f67a6bf70a237ae2367251428b062fac3b1ef8705d91a,not-applicable,json,False,False,vendor/archive/local backup,redistribution not established,DO_NOT_DISTRIBUTE,not established,local discovery only
parent_backup,starlink-low-orbit-modeling/outputs/problem2/checkpoints/single_31x48_seed_20261710.json,18600,a0826de7a72b6b342032a3fd4d0593015a3fa1d14bfefa2af12e37182330713e,not-applicable,json,False,False,vendor/archive/local backup,redistribution not established,DO_NOT_DISTRIBUTE,not established,local discovery only
parent_backup,starlink-low-orbit-modeling/outputs/problem2/checkpoints/single_33x45_seed_20261744.json,18758,0275dfbf58b023a919a6e6a813fe6e6fc707ae5fd9358a3f8c98b76af470100b,not-applicable,json,False,False,vendor/archive/local backup,redistribution not established,DO_NOT_DISTRIBUTE,not established,local discovery only
parent_backup,starlink-low-orbit-modeling/outputs/problem2/checkpoints/single_45x33_seed_20261761.json,18824,277d3f196134f9e3d9751382a896c62b2bf1c8bfed3669e5e54e9d3fb7bd23d1,not-applicable,json,False,False,vendor/archive/local backup,redistribution not established,DO_NOT_DISTRIBUTE,not established,local discovery only
parent_backup,starlink-low-orbit-modeling/outputs/problem2/checkpoints/single_48x31_seed_20261727.json,18765,c7b785d2278caa5db2779b10d1751072dfd23e64d90ea0240e538c1c56d83de7,not-applicable,json,False,False,vendor/archive/local backup,redistribution not established,DO_NOT_DISTRIBUTE,not established,local discovery only
parent_backup,starlink-low-orbit-modeling/outputs/problem2/checkpoints/single_53x28_seed_20261795.json,18765,32a451bf55ba70474ef8dd9c1245ccce484a5fd8ac9b2fbc26b48324ae2c98e0,not-applicable,json,False,False,vendor/archive/local backup,redistribution not established,DO_NOT_DISTRIBUTE,not established,local discovery only
parent_backup,starlink-low-orbit-modeling/outputs/problem2/checkpoints/single_55x27_seed_20261778.json,18780,9578fd3e8704776ebf49d345c2dd95d5091eef6c3db8d2ad4a3b240318ee9de1,not-applicable,json,False,False,vendor/archive/local backup,redistribution not established,DO_NOT_DISTRIBUTE,not established,local discovery only
parent_backup,starlink-low-orbit-modeling/outputs/problem2/checkpoints/single_seed_20260710.json,54600,27770f4958ae40c27520aec9e6fb707203e883ce4f1776b5446ca9215c39548b,not-applicable,json,False,False,vendor/archive/local backup,redistribution not established,DO_NOT_DISTRIBUTE,not established,local discovery only
parent_backup,starlink-low-orbit-modeling/outputs/problem2/run_metadata.json,2928,41a9d476091026801e2a552e388d583526ba830c4ff0700d6b4328821fba5195,not-applicable,json,False,False,vendor/archive/local backup,redistribution not established,DO_NOT_DISTRIBUTE,not established,local discovery only
parent_backup,starlink-low-orbit-modeling/outputs/problem2/standard_M25-50_N35-50/best_double_constellation.json,3095,db7f9240ea3b19cf980bb294cfaf7bfdc02afa6dae9d13dae9303edce5f0f7e3,not-applicable,json,False,False,vendor/archive/local backup,redistribution not established,DO_NOT_DISTRIBUTE,not established,local discovery only
parent_backup,starlink-low-orbit-modeling/outputs/problem2/standard_M25-50_N35-50/best_single_constellation.json,2953,d074edd311da733a569b40b7a28f74c340a46636318209390546aa0be832d487,not-applicable,json,False,False,vendor/archive/local backup,redistribution not established,DO_NOT_DISTRIBUTE,not established,local discovery only
parent_backup,starlink-low-orbit-modeling/outputs/problem2/standard_M25-50_N35-50/run_metadata.json,3368,f10c72a9a533a7cbd847271bf9fe8864189ebca3a54c19d06b20859e442efd13,not-applicable,json,False,False,vendor/archive/local backup,redistribution not established,DO_NOT_DISTRIBUTE,not established,local discovery only
parent_backup,starlink-low-orbit-modeling/outputs/problem3/problem3_run_metadata.json,5160,c656b7d8f596e74198c2917706b90191a39ff8ddda52c2c5bcdd25b389a64e42,not-applicable,json,False,False,vendor/archive/local backup,redistribution not established,DO_NOT_DISTRIBUTE,not established,local discovery only
parent_backup,starlink-low-orbit-modeling/outputs/problem3/routing_summary.json,839,96890ccad61ddf133f9b46bf63fac7f76dac0084b744af55312f099a947b40d8,not-applicable,json,False,False,vendor/archive/local backup,redistribution not established,DO_NOT_DISTRIBUTE,not established,local discovery only
parent_backup,starlink-low-orbit-modeling/outputs/problem3/selected_problem2_constellation.json,1576,47fe5357ccd124d02c09ce4631a84dd17c1fd4950fed57790230455746e29481,not-applicable,json,False,False,vendor/archive/local backup,redistribution not established,DO_NOT_DISTRIBUTE,not established,local discovery only
parent_backup,starlink-low-orbit-modeling/outputs/problem3/standard_run_20260711/problem3_run_metadata.json,5350,e3d1b4bf4449b66eee194cb78b782cb9bcd644c8ca901b4a007748c3ab69749a,not-applicable,json,False,False,vendor/archive/local backup,redistribution not established,DO_NOT_DISTRIBUTE,not established,local discovery only
parent_backup,starlink-low-orbit-modeling/outputs/problem3/standard_run_20260711/routing_summary.json,875,4c71773c207a667bce806ef35c275e044191198f139a484c23369681f79dfb53,not-applicable,json,False,False,vendor/archive/local backup,redistribution not established,DO_NOT_DISTRIBUTE,not established,local discovery only
